"year"	"max_1"	"max_10"	"max_11"	"max_12"	"max_2"	"max_3"	"max_4"	"max_5"	"max_6"	"max_7"	"max_8"	"max_9"	"mean_1"	"mean_10"	"mean_11"	"mean_12"	"mean_2"	"mean_3"	"mean_4"	"mean_5"	"mean_6"	"mean_7"	"mean_8"	"mean_9"	"min_1"	"min_10"	"min_11"	"min_12"	"min_2"	"min_3"	"min_4"	"min_5"	"min_6"	"min_7"	"min_8"	"min_9"
1981	0,0693548387096774	9,31774193548387	4,49833333333333	-2,92096774193548	0,825	2,4741935483871	9,30333333333333	16,7983870967742	17,1583333333333	21,0951612903226	19,3483870967742	15,9183333333333	-3,14354838709677	6,76774193548387	1,70666666666667	-5,60322580645161	-1,62678571428571	-1,18548387096774	4,51166666666667	11,2	13,175	16,7677419354839	15,2661290322581	12,335	-6,20322580645161	3,8	-0,968333333333333	-8,52903225806452	-4,55	-4,46774193548387	0,303333333333333	6,87741935483871	9,66166666666667	13,1741935483871	11,4935483870968	8,92
1982	-3,41774193548387	10,258064516129	7,18833333333333	2,84516129032258	-0,3	5,51451612903226	9,10666666666667	15,5370967741935	17,6516666666667	23,2645161290323	21,2241935483871	15,7516666666667	-6,72258064516129	7,99032258064516	4,91666666666667	0,82258064516129	-3,83928571428571	2,03870967741935	4,74166666666667	10,4387096774194	13,4216666666667	17,9274193548387	17,0403225806452	11,8633333333333	-10,508064516129	5,17096774193548	2,22666666666667	-1,5241935483871	-6,71785714285714	-0,696774193548387	0,723333333333333	6,38870967741935	9,27166666666667	13,4709677419355	12,641935483871	7,63166666666667
1983	4,55322580645161	11,2	4,17666666666667	2,58709677419355	0,575	4,26774193548387	8,00833333333333	15,1370967741935	19,5166666666667	23,2967741935484	22,9887096774194	15,5416666666667	1,83064516129032	7,8758064516129	1,81666666666667	-0,37741935483871	-3,15714285714286	1,0258064516129	4,39833333333333	10,4403225806452	14,7883333333333	18,2129032258064	17,5467741935484	12,6566666666667	-1,20967741935484	4,54354838709677	-1,56333333333333	-2,89193548387097	-7,0625	-1,74354838709677	1,36833333333333	6,81612903225806	10,5716666666667	13,7112903225806	12,2741935483871	9,61666666666667
1984	0,0854838709677419	11,6838709677419	6,37166666666667	3,14677419354839	1,02413793103448	2,30645161290323	10,6766666666667	15,9596774193548	18,5233333333333	20,6467741935484	20,891935483871	14,0816666666667	-2,13064516129032	9,42096774193548	4,76	1,73870967741935	-0,917241379310345	-0,891935483870968	5,635	11,1806451612903	14,3566666666667	16,2887096774194	16,8467741935484	11,13	-5,22903225806452	6,52258064516129	2,655	-0,479032258064516	-2,91896551724138	-4,26935483870968	1,49333333333333	7,1741935483871	10,2266666666667	12,6677419354839	12,5854838709677	7,85166666666667
1985	-4,91935483870968	11,4790322580645	2,69333333333333	-0,932258064516129	-6,96785714285714	1,96129032258065	6,19666666666667	15,0483870967742	18,4033333333333	21,2870967741936	19,3790322580645	14,2916666666667	-7,76129032258065	8,03387096774193	0,876666666666667	-4,00967741935484	-11,3	-0,583870967741935	2,41666666666667	9,46612903225807	14,1683333333333	16,5854838709677	15,4241935483871	10,3733333333333	-10,7467741935484	3,91612903225806	-1,525	-7,55967741935484	-15,8214285714286	-2,87258064516129	-0,723333333333333	5,14838709677419	10,1966666666667	12,6516129032258	11,7790322580645	6,775
1986	-1,6741935483871	9,96451612903226	7,525	1,55645161290323	-3,99285714285714	3,67903225806452	7,08666666666667	16,7145161290323	20,3566666666667	20,9032258064516	17,558064516129	13,8783333333333	-4,35806451612903	7,35967741935484	5,17666666666667	-0,437096774193548	-7,83214285714286	0,733870967741935	2,96166666666667	11,4145161290323	15,4116666666667	16,6645161290323	14,1467741935484	9,28833333333333	-7,18387096774194	4,25806451612903	3,065	-3,24516129032258	-12,3125	-1,49193548387097	-0,49	6,50483870967742	10,9766666666667	13,0161290322581	11,0032258064516	4,93666666666667
1987	-7,28548387096774	11,1048387096774	5,13166666666667	1,97096774193548	0,214285714285714	-0,185483870967742	9,14166666666667	13,3532258064516	15,8816666666667	20,2854838709677	17,3822580645161	14,6283333333333	-11,0629032258065	8,64354838709677	3,035	-0,788709677419355	-3,31964285714286	-3,7741935483871	4,57833333333333	8,61451612903226	12,08	15,8935483870968	13,5435483870968	10,83	-14,8870967741935	6,13387096774194	1,145	-3,68870967741936	-6,42678571428571	-7,03225806451613	0,48	4,90161290322581	9,03333333333333	11,5451612903226	10,4306451612903	7,56833333333333
1988	2,39677419354839	9,75143971043162	2,55666666666667	1,63870967741936	1,92758620689655	1,5758064516129	8,07830298877509	16,2806451612903	21,1166666666667	21,5691617620793	19,7741935483871	17,41	0,982258064516129	6,26612903225806	-0,478333333333333	-1,71935483870968	0,237931034482759	-1,16451612903226	3,68547620482653	11,441935483871	16,0283333333333	17,5481236423405	15,5790322580645	13,2033333333333	-0,219354838709677	4,93548387096774	-3,49166666666667	-5,46129032258064	-1,32758620689655	-3,77258064516129	0,252682324607639	6,58387096774194	11,5866666666667	14,1000444781075	12,0451612903226	9,24666666666667
1989	6,0758064516129	10,9790322580645	5,175	1,19838709677419	6,25892857142857	6,94354838709677	9,075	17,3145161290323	19,9966666666667	22,6177419354839	19,7193548387097	16,835	3,55645161290323	8,21612903225807	2,73	-1,4741935483871	3,53928571428571	3,73548387096774	5,23666666666667	12,0048387096774	15,5716666666667	17,6967741935484	15,6161290322581	13,0566666666667	0,846774193548387	5,56451612903226	0,0283333333333333	-4,73548387096774	1,17857142857143	1,07903225806452	1,965	6,79354838709677	11,3216666666667	13,1903225806452	11,7258064516129	9,35333333333333
1990	3,89032258064516	10,5064516129032	4,68666666666667	3,34516129032258	6,94642857142857	9,22096774193548	11,9	17,4451612903226	19,73	20,7435483870968	21,491935483871	14,125	1,84838709677419	7,77258064516129	2,28	1,32741935483871	4,48214285714286	5,35645161290323	7,195	12,0645161290323	15,2133333333333	16,2338709677419	16,9483870967742	11,095	-0,379032258064516	5,04032258064516	0,0916666666666667	-1,33870967741935	2,21071428571429	1,85967741935484	2,87833333333333	7,52096774193548	11,2	12,5548387096774	12,7096774193548	8,245
1991	2,82903225806452	10,1677419354839	5,76833333333333	4,05	0,333928571428571	4,89516129032258	9,76	12,3532258064516	15,4233333333333	23,0096774193548	21,6951612903226	16,3233333333333	0,283870967741936	7,75322580645161	3,90666666666667	1,38387096774194	-1,96607142857143	2,55161290322581	5,245	8,46129032258064	11,9633333333333	18,3354838709677	17,4629032258064	12,1116666666667	-2,13548387096774	5,21612903225806	1,635	-1,23870967741935	-4,14642857142857	0,324193548387097	1,92666666666667	5,07741935483871	8,92833333333333	13,9596774193548	13,9274193548387	8,55333333333333
1992	4,55645161290323	7,88225806451613	5,09333333333333	3,58225806451613	3,74655172413793	5,83064516129032	7,01333333333333	17,8774193548387	22,005	22,1661290322581	19,9983870967742	15,4016666666667	1,50161290322581	4,58709677419355	3	1,21290322580645	1,06034482758621	2,74354838709677	3,82833333333333	12,7532258064516	17,31	17,5790322580645	16,0790322580645	12,1166666666667	-1,34354838709677	1,43870967741935	0,893333333333333	-1,3241935483871	-1,52758620689655	0,230645161290323	1,16833333333333	7,76612903225806	12,6783333333333	13,3693548387097	12,708064516129	9,30166666666667
1993	2,90967741935484	9,45322580645161	3,24666666666667	2,48709677419355	2,95	5,21129032258064	9,87	18,5774193548387	17,8733333333333	19,9322580645161	17,9903225806452	13,305	0,354838709677419	6,50161290322581	1,71833333333333	0,406451612903226	0,198214285714286	2,14354838709677	5,46166666666667	13,0290322580645	13,175	15,9887096774194	14,1806451612903	9,475	-2,04193548387097	3,77258064516129	0,391666666666667	-1,65645161290323	-2,2375	-0,670967741935484	1,435	7,76129032258064	8,89	12,6209677419355	10,8758064516129	5,73833333333333
1994	1,46612903225806	9,38709677419355	6,20166666666667	4,29193548387097	-2,52142857142857	4,33225806451613	11,26	14,4048387096774	19,0683333333333	25,8258064516129	21,2241935483871	15,8716666666667	-0,993548387096774	6,48225806451613	3,42833333333333	2,15645161290323	-5,65357142857143	1,04677419354839	6,41833333333333	9,43225806451613	13,9366666666667	20,1467741935484	17,3338709677419	12,5233333333333	-3,27903225806452	3,83064516129032	0,935	-0,0645161290322581	-8,62321428571429	-1,74193548387097	2,49	4,7241935483871	9,43	14,5129032258065	13,7677419354839	9,65333333333333
1995	0,733870967741935	12,5402575411344	2,59791692609707	-1,98709677419355	3,94464285714286	5,18709677419355	8,255	13,3645161290323	19,7733333333333	21,5564516129032	23,2032258064516	15,4666666666667	-1,78387096774194	9,43803546005087	0,288842433745414	-4,79354838709677	1,1375	2,32096774193548	4,27166666666667	8,55	15,1733333333333	17,0741935483871	17,8370967741935	12,4	-4,15806451612903	6,68108654172926	-2,08462718983763	-7,78709677419355	-1,4875	-0,111290322580645	1,07166666666667	3,98548387096774	11,295	12,8596774193548	12,7870967741935	9,50166666666667
1996	-1,39032258064516	10,9838709677419	5,86666666666667	-0,648387096774194	-2,9551724137931	2,13870967741935	10,5833333333333	12,7758064516129	18,8133333333333	19,6338709677419	23,0467741935484	14,455	-3,4258064516129	8,16935483870968	3,58666666666667	-3,02903225806452	-6,55344827586207	-1	5,20166666666667	8,25806451612903	14,3966666666667	15,2645161290323	18,6193548387097	10,1716666666667	-5,28709677419355	5,61451612903226	1,335	-5,47258064516129	-9,88103448275862	-3,61774193548387	0,538333333333333	4,55645161290323	10,5433333333333	11,5161290322581	14,5354838709677	6,245
