"year" "id"
"388" "1988" "old_1115"
"389" "1988" "old_191"
"390" "1988" "old_411"
"391" "1988" "old_246"
"392" "1988" "old_202"
"393" "1988" "old_355"
"394" "1988" "old_427"
"395" "1988" "old_346"
"396" "1988" "old_438"
"397" "1988" "old_439"
"398" "1988" "old_386"
"399" "1988" "old_276"
"400" "1988" "old_838"
"401" "1988" "old_187"
"402" "1988" "old_440"
"403" "1988" "old_378"
"404" "1988" "old_257"
"405" "1988" "old_143"
"406" "1988" "old_132"
"407" "1988" "old_385"
"408" "1988" "old_749"
"409" "1988" "old_430"
"410" "1989" "old_210"
"411" "1989" "old_7"
"412" "1989" "old_4"
"413" "1989" "old_464"
"414" "1989" "old_279"
"415" "1989" "old_753"
"416" "1989" "old_384"
"417" "1989" "old_816"
"418" "1989" "old_212"
"419" "1989" "old_791"
"420" "1989" "old_370"
"421" "1989" "old_262"
"422" "1989" "old_450"
"423" "1989" "old_133"
"424" "1989" "old_359"
"425" "1989" "old_94"
"426" "1989" "old_408"
"427" "1989" "old_197"
"428" "1989" "old_247"
"429" "1989" "old_363"
"430" "1989" "old_283"
"431" "1989" "old_284"
"432" "1989" "old_229"
"433" "1989" "old_6"
"434" "1989" "old_147"
"435" "1989" "old_64"
"436" "1989" "old_354"
"437" "1989" "old_460"
"438" "1989" "old_290"
"439" "1989" "old_249"
"440" "1989" "old_749"
"441" "1989" "old_236"
"442" "1989" "old_379"
"443" "1989" "old_238"
"444" "1989" "old_426"
"445" "1989" "old_446"
"446" "1989" "old_742"
"447" "1989" "old_286"
"448" "1989" "old_119"
"449" "1989" "old_1054"
"450" "1989" "old_246"
"451" "1989" "old_395"
"452" "1989" "old_213"
"453" "1989" "old_176"
"454" "1989" "old_1025"
"455" "1989" "old_125"
"456" "1989" "old_434"
"457" "1989" "old_96"
"458" "1989" "old_419"
"459" "1989" "old_396"
"460" "1989" "old_223"
"461" "1989" "old_252"
"462" "1989" "old_727"
"463" "1989" "old_810"
"464" "1989" "old_813"
"465" "1989" "old_132"
"466" "1989" "old_385"
"467" "1989" "old_381"
"468" "1989" "old_144"
"469" "1989" "old_217"
"470" "1989" "old_346"
"471" "1989" "old_244"
"472" "1989" "old_832"
"473" "1989" "old_694"
"474" "1989" "old_801"
"475" "1989" "old_191"
"476" "1989" "old_341"
"477" "1989" "old_416"
"478" "1989" "old_728"
"479" "1989" "old_124"
"480" "1989" "old_82"
"481" "1989" "old_838"
"482" "1989" "old_264"
"483" "1989" "old_573"
"484" "1989" "old_726"
"485" "1989" "old_843"
"486" "1989" "old_142"
"487" "1989" "old_202"
"488" "1989" "old_735"
"489" "1989" "old_216"
"490" "1989" "old_120"
"491" "1989" "old_470"
"492" "1989" "old_211"
"493" "1989" "old_401"
"494" "1989" "old_1024"
"495" "1989" "old_270"
"496" "1989" "old_751"
"497" "1989" "old_19"
"498" "1989" "old_1026"
"499" "1989" "old_692"
"500" "1989" "old_74"
"501" "1989" "old_98"
"502" "1989" "old_275"
"503" "1989" "old_289"
"504" "1989" "old_811"
"505" "1989" "old_800"
"506" "1989" "old_814"
"507" "1989" "old_752"
"508" "1990" "old_446"
"509" "1990" "old_282"
"510" "1990" "old_76"
"511" "1990" "old_223"
"512" "1990" "old_258"
"513" "1990" "old_468"
"514" "1990" "old_454"
"515" "1990" "old_461"
"516" "1990" "old_417"
"517" "1990" "old_459"
"518" "1990" "old_229"
"519" "1990" "old_58"
"520" "1990" "old_272"
"521" "1990" "old_170"
"522" "1990" "old_402"
"523" "1990" "old_3"
"524" "1990" "old_284"
"525" "1990" "old_814"
"526" "1990" "old_401"
"527" "1990" "old_384"
"528" "1990" "old_212"
"529" "1990" "old_278"
"530" "1990" "old_748"
"531" "1990" "old_252"
"532" "1990" "old_202"
"533" "1990" "old_88"
"534" "1990" "old_470"
"535" "1990" "old_397"
"536" "1990" "old_439"
"537" "1990" "old_32"
"538" "1990" "old_426"
"539" "1990" "old_827"
"540" "1990" "old_213"
"541" "1990" "old_77"
"542" "1990" "old_291"
"543" "1990" "old_133"
"544" "1990" "old_78"
"545" "1990" "old_412"
"546" "1990" "old_24"
"547" "1990" "old_176"
"548" "1990" "old_437"
"549" "1990" "old_372"
"550" "1990" "old_210"
"551" "1990" "old_448"
"552" "1990" "old_224"
"553" "1990" "old_360"
