"year"	"id"	"data"	"FFD_corr"	"FFD_action"	"grazing"	"shoot_vol"	"shoot_vol_action"	"cum_n_fl"	"cum_n_fl_action"	"n_fr"	"n_ovules"	"total_n_seeds"	"total_n_intact_seeds"	"FFD"	"FFD_imputed"
"137"	2006	131	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"138"	2006	132	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"139"	2006	133	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"140"	2006	134	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"141"	2006	135	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"142"	2006	136	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"143"	2006	137	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"144"	2006	138	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"145"	2006	139	1	2006-05-21	"ok"	0	863.09	"ok"	4	"ok"	0	0	0	0	141	0
"146"	2006	140	1	2006-05-20	"ok"	0	6852.44	"ok"	49	"ok"	10	125	84	44	140	0
"147"	2006	141	1	2006-05-19	"ok"	1	NA	"impute"	1	"ok"	0	0	0	0	139	0
"148"	2006	142	1	2006-05-19	"ok"	0	869.11	"ok"	9	"ok"	0	0	0	0	139	0
"149"	2006	143	1	2006-05-17	"ok"	0	917.35	"ok"	14	"ok"	0	0	0	0	NA	NA
"150"	2006	144	1	2006-05-17	"ok"	0	3511	"ok"	23	"ok"	3	42	25	NA	NA	NA
"151"	2006	145	1	2006-05-17	"ok"	0	924.59	"ok"	12	"ok"	3	37	15	15	NA	NA
"152"	2006	146	1	2006-05-17	"ok"	0	2192.27	"ok"	16	"ok"	3	40	21	20	NA	NA
"153"	2006	147	1	2006-05-19	"ok"	0	371.96	"ok"	4	"ok"	1	13	2	0	139	0
"154"	2006	148	1	2006-05-17	"ok"	0	848.23	"ok"	5	"ok"	1	11	8	8	NA	NA
"155"	2006	149	1	2006-05-17	"ok"	0	743.94	"ok"	5	"ok"	0	0	0	0	NA	NA
"156"	2006	150	1	2006-05-28	"ok"	0	380.12	"ok"	3	"ok"	0	0	0	0	148	0
"157"	2006	151	1	2006-05-17	"ok"	0	2447.34	"ok_m"	27	"ok"	0	0	0	0	NA	NA
"158"	2006	152	1	2006-05-17	"ok"	0	5855.58	"ok"	58	"ok"	4	60	24	15.4285714286	NA	NA
"159"	2006	153	1	2006-05-19	"ok"	0	1028.04	"ok"	6	"ok"	1	13	9	1	139	0
"160"	2006	154	1	2006-05-19	"ok"	0	1279.34	"ok"	4	"ok"	0	0	0	0	139	0
"161"	2006	155	1	2006-05-17	"ok"	0	567.26	"ok"	4	"ok"	0	0	0	0	NA	NA
"162"	2006	156	1	2006-05-17	"ok"	0	1008.75	"ok"	7	"ok"	0	0	0	0	NA	NA
"163"	2006	157	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"164"	2006	158	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"165"	2006	159	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"166"	2006	160	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"167"	2006	161	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"168"	2006	162	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"169"	2006	163	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"170"	2006	164	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"171"	2006	165	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"172"	2006	166	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"173"	2006	167	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"174"	2006	168	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"175"	2006	169	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"176"	2006	170	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"177"	2006	171	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"178"	2006	172	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"179"	2006	173	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"180"	2006	174	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"181"	2006	175	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
