year	id	n_pred_holes	TOTAL_N_PRED_SEEDS	TOTAL_N_SEEDS
2012	220	4	8	8
2012	221	29	9	40
2012	222	4	3	3
2012	223	19	5	12
2012	224	0	0	0
2012	225	0	0	0
2012	226	18	4	4
2012	227	25	14	16
2012	228	0	0	0
2012	229	0	0	0
2012	230	4	3	3
2012	231	0	0	0
2012	232	6	5	5
2012	233	35	8	12
2012	234	3	5	5
2012	235	20	4	8
2012	236	0	0	0
2012	237	6	4	4
2012	238	7	0	0
2012	239	0	0	0
2012	240	0	0	0
2012	241	5	5	5
2012	242	0	0	0
2012	243	0	0	0
2012	244	0	0	0
2012	245	0	0	0
2012	246	0	0	0
2012	247	0	0	0
2012	248	0	0	0
2012	249	0	0	0
2012	250	0	0	0
2012	251	0	0	0
2012	252	0	0	0
2012	253	0	0	0
